,count,keyword
0,3,False
084,1,False
1,4,False
10,2,False
100,1,False
11,1,False
12,1,False
14,2,False
154,1,False
16,1,False
16h,1,False
17,1,False
18,1,False
19,1,False
19h,1,False
2,2,False
2005,1,False
2012,1,False
2014,1,False
2015,1,False
2021,2,False
20h30,1,False
21h30,1,False
22,1,False
23,1,False
28,1,False
3,2,False
30,3,False
33,1,False
36,2,False
37,2,False
40,2,False
41,1,False
45,1,False
5,2,False
51,1,False
80,1,False
abel,4,False
aberta,2,False
aberto,1,False
abriu,4,False
acabou,2,False
acertar,1,False
acionou,1,False
acontecer,1,False
acréscimos,1,False
agora,2,False
ajudou,2,False
alberto,2,False
além,2,False
aliviado,1,False
allianz,1,False
alta,1,False
alves,1,False
alviverde,2,False
always,1,False
americana,3,False
ángel,1,False
ano,2,False
anos,2,False
antecipou,1,False
antes,2,False
anunciou,1,False
apagar,1,False
apareceu,2,False
apenas,1,False
apitou,1,False
aproveitou,2,False
aqui,1,False
árbitro,3,False
área,5,False
arena,2,False
argentino,1,False
arriscar,1,False
arriscou,1,False
arrumar,1,False
arsenal,1,False
artilheiro,2,False
assim,1,False
assista,1,False
atacante,3,False
atacar,1,False
ataque,5,False
atendimentos,1,False
atual,1,False
atuava,1,False
atuou,1,False
aumentar,1,False
autor,1,False
azul,1,False
barbosa,2,False
base,1,False
bateram,1,False
bateu,2,False
beira,2,False
bem,2,False
benfica,5,False
boa,1,False
boca,1,False
bola,5,False
bolas,1,False
bolso,1,False
braga,3,False
branco,1,False
brasil,2,False
brasileirão,1,False
brasileiro,2,False
brasileiros,1,False
braço,1,False
brenno,2,False
briga,1,False
brilharam,1,False
busca,1,False
buscava,1,False
cá,1,False
cabecear,2,False
caio,1,False
camisa,1,False
campanha,3,False
campeão,5,False
campeões,2,False
campeonato,7,False
campo,4,False
cantinho,1,False
capitão,2,False
carimbou,1,False
cartão,1,False
casa,1,False
cauteloso,1,False
ceará,1,False
cebolinha,1,False
centroavante,2,False
cerca,1,False
chance,2,False
chances,3,False
chapa,1,False
chegada,2,False
chegar,1,False
chegou,2,False
chutou,2,False
cinco,3,False
claro,1,False
classificada,1,False
classificação,2,False
claus,1,False
clima,1,False
clique,1,False
clube,2,False
clubes,1,False
cobrança,3,False
coimbra,1,False
colocado,1,False
colocar,1,False
colocou,1,False
colorada,1,False
colorados,3,False
comando,2,False
comemora,1,False
começa,1,False
começou,1,False
como,4,False
competição,1,False
competições,1,False
completa,1,False
compromissos,1,False
confirmar,1,False
confusão,2,False
conquistas,2,False
conquistou,2,False
consecutivo,1,False
conseguiu,1,False
construída,2,False
