,count,keyword
10,1,False
100,1,False
11,3,False
12,3,False
2,2,False
20,2,False
200,2,False
21,6,False
225,1,False
23,1,False
243,3,False
25,2,False
250,3,False
3,1,False
39,2,False
4,1,False
5,4,False
66,2,False
abaixo,2,False
abertos,2,False
abordagem,1,False
abrirão,2,False
aceitou,2,False
acho,2,False
acima,2,False
acordo,3,False
acrescenta,2,False
acrescentando,2,False
acrescentou,4,False
adotar,1,False
aérea,2,False
aéreas,2,False
aéreos,1,False
afirmou,4,False
afp,1,False
agência,3,False
agradeço,2,False
agressão,2,False
água,1,False
ainda,2,False
al,4,False
alcançá,2,False
alcançar,2,False
além,3,False
alerta,2,False
alertar,1,False
aliado,2,False
aliados,4,False
alto,2,False
altos,2,False
alvos,1,False
amplo,1,False
antes,4,False
anunciaram,2,False
apesar,2,False
aproxima,2,False
aqsa,2,False
armada,2,False
armado,2,False
armados,2,False
ashkelon,2,False
assim,2,False
ataque,2,False
ataques,7,False
atingidas,2,False
atingir,2,False
atingiu,1,False
atos,2,False
atrocidades,2,False
aumentar,2,False
autoridades,2,False
avaliam,1,False
aviv,4,False
baixas,3,False
baixou,2,False
basem,2,False
batalha,2,False
bbc,2,False
benjamin,4,False
benny,2,False
biden,2,False
bom,2,False
bombardeios,2,False
brasil,2,False
busca,2,False
buzinaço,2,False
calcular,1,False
calma,2,False
caminho,4,False
caminhos,2,False
campanha,4,False
capacidade,2,False
capacidades,2,False
casas,1,False
católicos,2,False
causas,2,False
centenas,2,False
centrado,1,False
cessar,12,False
cético,2,False
chefe,1,False
choque,2,False
cidade,3,False
cidades,4,False
citado,2,False
civis,2,False
coisas,2,False
comandante,2,False
combatentes,1,False
combates,3,False
comerciantes,1,False
começaram,1,False
começou,3,False
como,7,False
companhias,2,False
complexo,2,False
comum,2,False
comunicado,4,False
comunidades,2,False
conflito,10,False
conflitos,2,False
confronto,4,False
confrontos,3,False
conhecido,2,False
conquistas,2,False
conselho,2,False
considerou,2,False
construtores,2,False
continuaremos,2,False
convivência,2,False
coquetéis,2,False
crescente,1,False
crianças,6,False
criticaram,2,False
cuidadoso,2,False
culturais,2,False
curto,1,False
danificadas,1,False
danos,2,False
decisão,2,False
declarou,1,False
dedo,2,False
defesa,2,False
delas,2,False
derrota,2,False
descreveu,2,False
desencadeando,1,False
desenvolvimento,1,False
desferir,2,False
desordeiros,2,False
dessa,2,False
desta,2,False
destruídas,1,False
destruiu,2,False
destruições,1,False
deter,2,False
determinará,2,False
deus,2,False
devem,2,False
devemos,2,False
deveria,2,False
devolver,1,False
dia,6,False
diálogo,4,False
dias,4,False
disparados,1,False
disparar,1,False
dispararam,2,False
disse,21,False
disseram,2,False
disso,2,False
diz,8,False
dizem,5,False
dizendo,2,False
dizer,2,False
dois,4,False
domingo,3,False
duas,5,False
duradoura,1,False
duraria,2,False
é,14,False
egito,2,False
eliminado,2,False
elogiou,4,False
emergência,2,False
encerrando,2,False
enclave,1,False
encontrem,2,False
enfatizaram,2,False
enfoque,1,False
enfrentamentos,2,False
enquanto,2,False
entanto,2,False
entraram,2,False
entrassem,2,False
entrou,2,False
equação,2,False
escalada,5,False
escombros,1,False
esperança,3,False
espírito,2,False
está,2,False
estabeleceu,2,False
estados,2,False
estar,2,False
estavam,2,False
estejam,2,False
estopim,2,False
estourou,2,False
estradas,1,False
estratégicas,2,False
evitar,3,False
excepcional,2,False
exército,4,False
exortou,2,False
extrema,2,False
extremista,2,False
faixa,3,False
falantes,2,False
falavam,2,False
fará,2,False
faria,2,False
fazer,2,False
feira,14,False
feito,2,False
fez,2,False
fim,1,False
financiado,2,False
fizemos,2,False
fizeram,4,False
fogo,12,False
foguetes,8,False
foram,13,False
fortemente,2,False
força,6,False
fosse,2,False
francisco,2,False
funcionários,2,False
futuro,7,False
gabinete,4,False
gama,2,False
ganhos,2,False
gantz,2,False
gás,2,False
gatilho,2,False
gaza,22,False
genuína,2,False
geral,1,False
golpe,2,False
governo,2,False
granadas,2,False
grande,2,False
grupo,12,False
guarda,2,False
hamas,22,False
heróica,2,False
hezbollah,6,False
histórico,2,False
hoje,2,False
horas,2,False
humano,1,False
importância,2,False
incluindo,6,False
infelizmente,2,False
influente,2,False
informou,3,False
infraestruturas,1,False
início,2,False
inimigo,2,False
insiste,2,False
inteiro,2,False
internacionais,2,False
invasão,2,False
irã,2,False
irmãos,2,False
irmãs,2,False
israel,33,False
israelense,13,False
israelenses,18,False
izzat,2,False
já,4,False
jerusalem,2,False
jerusalém,6,False
