,count,keyword
"""",4,False
",",9,True
.,3,False
:,1,False
;,1,False
a,2,False
água,1,False
ali,2,True
ao,2,False
apenas,1,False
após,1,False
aproximando,1,False
Às,1,False
assim,1,False
buraco,3,False
cachoeira,2,False
cai,1,False
caindo,1,False
caso,1,False
certa,1,False
como,1,False
consegue,2,False
conseguir,1,False
corre,1,False
da,1,False
de,5,False
direção,2,False
distância,1,False
do,1,False
e,2,False
é,2,False
em,1,False
então,1,True
escapar,3,False
eventos,1,False
existe,2,False
fosse,1,False
horizonte,1,False
imagine,1,False
isso,1,False
jamais,1,False
luz,3,False
mas,1,False
matéria,1,False
na,1,False
nadando,1,False
nadar,1,False
não,2,False
negro,3,False
no,1,False
nós,1,False
num,1,False
o,5,True
olhar,1,False
oposta,1,False
para,1,False
peixe,3,False
poderemos,1,False
pois,1,False
por,1,False
que,3,False
raio,1,False
rapidamente,1,False
rio,1,False
saiba,1,False
se,2,False
sem,1,False
tão,1,False
tentando,1,False
todas,1,False
topo,2,False
um,3,False
uma,2,False
ver,1,False
vez,1,False
vezes,1,False
